# y+ ()       
# Time        	patch         	min           	max           	average       
103           	pipe	1.466360e+01	8.523098e+01	7.583725e+01
104           	pipe	1.466360e+01	8.457160e+01	7.524704e+01
105           	pipe	1.466361e+01	8.392386e+01	7.466793e+01
106           	pipe	1.466361e+01	8.328629e+01	7.409973e+01
107           	pipe	1.466361e+01	8.266028e+01	7.354225e+01
108           	pipe	1.466361e+01	8.204420e+01	7.299532e+01
109           	pipe	1.466362e+01	8.143899e+01	7.245877e+01
110           	pipe	1.466362e+01	8.084393e+01	7.193243e+01
111           	pipe	1.466362e+01	8.025854e+01	7.141593e+01
112           	pipe	1.466362e+01	7.968406e+01	7.090949e+01
113           	pipe	1.466363e+01	7.911890e+01	7.041289e+01
114           	pipe	1.466363e+01	7.856401e+01	6.992591e+01
115           	pipe	1.466363e+01	7.801876e+01	6.944838e+01
116           	pipe	1.466363e+01	7.748246e+01	6.898013e+01
117           	pipe	1.466364e+01	7.695648e+01	6.852102e+01
118           	pipe	1.466364e+01	7.643936e+01	6.807090e+01
119           	pipe	1.466364e+01	7.593090e+01	6.762962e+01
120           	pipe	1.466364e+01	7.543254e+01	6.719706e+01
121           	pipe	1.466364e+01	7.494255e+01	6.677305e+01
122           	pipe	1.466365e+01	7.446091e+01	6.635746e+01
123           	pipe	1.466365e+01	7.398889e+01	6.595016e+01
124           	pipe	1.466365e+01	7.352502e+01	6.555101e+01
125           	pipe	1.466365e+01	7.306917e+01	6.515988e+01
126           	pipe	1.466365e+01	7.262220e+01	6.477663e+01
127           	pipe	1.466365e+01	7.218345e+01	6.440116e+01
128           	pipe	1.466365e+01	7.175238e+01	6.403332e+01
129           	pipe	1.466365e+01	7.132920e+01	6.367300e+01
130           	pipe	1.466366e+01	7.091459e+01	6.332007e+01
131           	pipe	1.466366e+01	7.050713e+01	6.297424e+01
132           	pipe	1.466366e+01	7.010713e+01	6.263567e+01
133           	pipe	1.466366e+01	6.971497e+01	6.230421e+01
134           	pipe	1.466366e+01	6.933062e+01	6.197972e+01
135           	pipe	1.466366e+01	6.895330e+01	6.166207e+01
136           	pipe	1.466366e+01	6.858295e+01	6.135112e+01
137           	pipe	1.466366e+01	6.821980e+01	6.104676e+01
138           	pipe	1.466366e+01	6.786409e+01	6.074888e+01
139           	pipe	1.466366e+01	6.751502e+01	6.045738e+01
140           	pipe	1.466366e+01	6.717255e+01	6.017214e+01
141           	pipe	1.466366e+01	6.683662e+01	5.989306e+01
142           	pipe	1.466366e+01	6.650771e+01	5.962005e+01
143           	pipe	1.466367e+01	6.618534e+01	5.935299e+01
144           	pipe	1.466367e+01	6.586920e+01	5.909178e+01
145           	pipe	1.466367e+01	6.555923e+01	5.883634e+01
146           	pipe	1.466367e+01	6.525536e+01	5.858654e+01
147           	pipe	1.466367e+01	6.495778e+01	5.834230e+01
148           	pipe	1.466367e+01	6.466644e+01	5.810352e+01
149           	pipe	1.466367e+01	6.438091e+01	5.787010e+01
150           	pipe	1.466367e+01	6.410111e+01	5.764194e+01
151           	pipe	1.466367e+01	6.382698e+01	5.741895e+01
152           	pipe	1.466367e+01	6.355847e+01	5.720103e+01
153           	pipe	1.466367e+01	6.329550e+01	5.698809e+01
154           	pipe	1.466367e+01	6.303837e+01	5.678004e+01
155           	pipe	1.466367e+01	6.278657e+01	5.657677e+01
156           	pipe	1.466367e+01	6.253999e+01	5.637821e+01
157           	pipe	1.466367e+01	6.229856e+01	5.618425e+01
158           	pipe	1.466367e+01	6.206220e+01	5.599482e+01
159           	pipe	1.466367e+01	6.183083e+01	5.580980e+01
160           	pipe	1.466367e+01	6.160437e+01	5.562913e+01
161           	pipe	1.466367e+01	6.138273e+01	5.545271e+01
162           	pipe	1.466367e+01	6.116586e+01	5.528045e+01
163           	pipe	1.466367e+01	6.095385e+01	5.511227e+01
164           	pipe	1.466367e+01	6.074639e+01	5.494809e+01
165           	pipe	1.466367e+01	6.054341e+01	5.478781e+01
166           	pipe	1.466367e+01	6.034484e+01	5.463136e+01
167           	pipe	1.466367e+01	6.015060e+01	5.447866e+01
168           	pipe	1.466367e+01	5.996062e+01	5.432961e+01
169           	pipe	1.466367e+01	5.977480e+01	5.418415e+01
170           	pipe	1.466367e+01	5.959309e+01	5.404219e+01
171           	pipe	1.466367e+01	5.941541e+01	5.390366e+01
172           	pipe	1.466367e+01	5.924167e+01	5.376848e+01
173           	pipe	1.466367e+01	5.907182e+01	5.363656e+01
174           	pipe	1.466367e+01	5.890576e+01	5.350785e+01
175           	pipe	1.466367e+01	5.874343e+01	5.338226e+01
176           	pipe	1.466367e+01	5.858476e+01	5.325971e+01
177           	pipe	1.466367e+01	5.842965e+01	5.314015e+01
178           	pipe	1.466367e+01	5.827805e+01	5.302350e+01
179           	pipe	1.466367e+01	5.812988e+01	5.290968e+01
180           	pipe	1.466367e+01	5.798506e+01	5.279864e+01
181           	pipe	1.466367e+01	5.784353e+01	5.269031e+01
182           	pipe	1.466367e+01	5.770522e+01	5.258461e+01
183           	pipe	1.466367e+01	5.757006e+01	5.248150e+01
184           	pipe	1.466367e+01	5.743797e+01	5.238089e+01
185           	pipe	1.466367e+01	5.730890e+01	5.228274e+01
186           	pipe	1.466367e+01	5.718278e+01	5.218698e+01
187           	pipe	1.466367e+01	5.705953e+01	5.209355e+01
188           	pipe	1.466367e+01	5.693911e+01	5.200240e+01
189           	pipe	1.466367e+01	5.685293e+01	5.191346e+01
190           	pipe	1.466367e+01	5.685296e+01	5.182669e+01
191           	pipe	1.466367e+01	5.685297e+01	5.174203e+01
192           	pipe	1.466367e+01	5.685296e+01	5.165942e+01
193           	pipe	1.466367e+01	5.685293e+01	5.157882e+01
194           	pipe	1.466367e+01	5.685289e+01	5.150017e+01
195           	pipe	1.466367e+01	5.685283e+01	5.142343e+01
196           	pipe	1.466367e+01	5.685276e+01	5.134854e+01
197           	pipe	1.466367e+01	5.685268e+01	5.127546e+01
198           	pipe	1.466367e+01	5.685259e+01	5.120415e+01
199           	pipe	1.466367e+01	5.685249e+01	5.113455e+01
200           	pipe	1.466367e+01	5.685238e+01	5.106663e+01
201           	pipe	1.466367e+01	5.685227e+01	5.100035e+01
202           	pipe	1.466367e+01	5.685215e+01	5.093565e+01
203           	pipe	1.466367e+01	5.685203e+01	5.087251e+01
204           	pipe	1.466367e+01	5.685191e+01	5.081088e+01
205           	pipe	1.466367e+01	5.685178e+01	5.075072e+01
206           	pipe	1.466367e+01	5.685165e+01	5.069201e+01
207           	pipe	1.466367e+01	5.685152e+01	5.063469e+01
208           	pipe	1.466367e+01	5.685139e+01	5.057874e+01
209           	pipe	1.466367e+01	5.685125e+01	5.052413e+01
210           	pipe	1.466367e+01	5.685112e+01	5.047081e+01
211           	pipe	1.466367e+01	5.685099e+01	5.041876e+01
212           	pipe	1.466367e+01	5.685086e+01	5.036795e+01
213           	pipe	1.466367e+01	5.685073e+01	5.031834e+01
214           	pipe	1.466367e+01	5.685060e+01	5.026991e+01
215           	pipe	1.466367e+01	5.685048e+01	5.022262e+01
216           	pipe	1.466367e+01	5.685035e+01	5.017646e+01
217           	pipe	1.466367e+01	5.685023e+01	5.013139e+01
218           	pipe	1.466367e+01	5.685011e+01	5.008738e+01
219           	pipe	1.466367e+01	5.684999e+01	5.004441e+01
220           	pipe	1.466367e+01	5.684988e+01	5.000246e+01
221           	pipe	1.466367e+01	5.684976e+01	4.996150e+01
222           	pipe	1.466367e+01	5.684965e+01	4.992151e+01
223           	pipe	1.466367e+01	5.684955e+01	4.988247e+01
224           	pipe	1.466367e+01	5.684944e+01	4.984434e+01
225           	pipe	1.466367e+01	5.684934e+01	4.980712e+01
226           	pipe	1.466367e+01	5.684924e+01	4.977078e+01
227           	pipe	1.466367e+01	5.684915e+01	4.973530e+01
228           	pipe	1.466367e+01	5.684905e+01	4.970066e+01
229           	pipe	1.466367e+01	5.684896e+01	4.966684e+01
230           	pipe	1.466367e+01	5.684888e+01	4.963383e+01
231           	pipe	1.466367e+01	5.684879e+01	4.960160e+01
232           	pipe	1.466367e+01	5.684871e+01	4.957013e+01
233           	pipe	1.466367e+01	5.684863e+01	4.953941e+01
234           	pipe	1.466367e+01	5.684855e+01	4.950943e+01
235           	pipe	1.466367e+01	5.684848e+01	4.948016e+01
236           	pipe	1.466367e+01	5.684841e+01	4.945159e+01
237           	pipe	1.466367e+01	5.684834e+01	4.942370e+01
238           	pipe	1.466367e+01	5.684828e+01	4.939649e+01
239           	pipe	1.466367e+01	5.684821e+01	4.936992e+01
240           	pipe	1.466367e+01	5.684815e+01	4.934400e+01
241           	pipe	1.466367e+01	5.684809e+01	4.931871e+01
242           	pipe	1.466367e+01	5.684803e+01	4.929403e+01
243           	pipe	1.466367e+01	5.684798e+01	4.926994e+01
244           	pipe	1.466367e+01	5.684793e+01	4.924644e+01
245           	pipe	1.466367e+01	5.684788e+01	4.922352e+01
246           	pipe	1.466367e+01	5.684783e+01	4.920115e+01
247           	pipe	1.466367e+01	5.684778e+01	4.917932e+01
248           	pipe	1.466367e+01	5.684774e+01	4.915803e+01
249           	pipe	1.466367e+01	5.684769e+01	4.913726e+01
250           	pipe	1.466367e+01	5.684765e+01	4.911699e+01
251           	pipe	1.466367e+01	5.684761e+01	4.909722e+01
252           	pipe	1.466367e+01	5.684757e+01	4.907794e+01
253           	pipe	1.466367e+01	5.684754e+01	4.905913e+01
254           	pipe	1.466367e+01	5.684750e+01	4.904077e+01
255           	pipe	1.466367e+01	5.684747e+01	4.902288e+01
256           	pipe	1.466367e+01	5.684744e+01	4.900542e+01
257           	pipe	1.466367e+01	5.684741e+01	4.898839e+01
258           	pipe	1.466367e+01	5.684738e+01	4.897179e+01
259           	pipe	1.466367e+01	5.684735e+01	4.895559e+01
260           	pipe	1.466367e+01	5.684732e+01	4.893981e+01
261           	pipe	1.466367e+01	5.684730e+01	4.892441e+01
262           	pipe	1.466367e+01	5.684727e+01	4.890941e+01
263           	pipe	1.466367e+01	5.684725e+01	4.889478e+01
264           	pipe	1.466367e+01	5.684723e+01	4.888052e+01
265           	pipe	1.466367e+01	5.684720e+01	4.886662e+01
266           	pipe	1.466367e+01	5.684718e+01	4.885307e+01
267           	pipe	1.466367e+01	5.684716e+01	4.883986e+01
