# y+ ()       
# Time        	patch         	min           	max           	average       
448           	pipe	1.466367e+01	5.684677e+01	4.843510e+01
449           	pipe	1.466367e+01	5.684677e+01	4.843572e+01
450           	pipe	1.466367e+01	5.684677e+01	4.843634e+01
451           	pipe	1.466367e+01	5.684677e+01	4.843696e+01
452           	pipe	1.466367e+01	5.684677e+01	4.843758e+01
453           	pipe	1.466367e+01	5.684677e+01	4.843819e+01
454           	pipe	1.466367e+01	5.684677e+01	4.843881e+01
455           	pipe	1.466367e+01	5.684677e+01	4.843943e+01
456           	pipe	1.466367e+01	5.684677e+01	4.844004e+01
457           	pipe	1.466367e+01	5.684677e+01	4.844065e+01
458           	pipe	1.466367e+01	5.684677e+01	4.844127e+01
459           	pipe	1.466367e+01	5.684677e+01	4.844188e+01
460           	pipe	1.466367e+01	5.684677e+01	4.844249e+01
461           	pipe	1.466367e+01	5.684677e+01	4.844310e+01
462           	pipe	1.466367e+01	5.684677e+01	4.844371e+01
463           	pipe	1.466367e+01	5.684677e+01	4.844432e+01
464           	pipe	1.466367e+01	5.684677e+01	4.844493e+01
465           	pipe	1.466367e+01	5.684677e+01	4.844554e+01
466           	pipe	1.466367e+01	5.684677e+01	4.844615e+01
467           	pipe	1.466367e+01	5.684677e+01	4.844675e+01
468           	pipe	1.466367e+01	5.684677e+01	4.844736e+01
469           	pipe	1.466367e+01	5.684677e+01	4.844797e+01
470           	pipe	1.466367e+01	5.684677e+01	4.844857e+01
471           	pipe	1.466367e+01	5.684677e+01	4.844917e+01
472           	pipe	1.466367e+01	5.684677e+01	4.844978e+01
473           	pipe	1.466367e+01	5.684677e+01	4.845038e+01
474           	pipe	1.466367e+01	5.684677e+01	4.845098e+01
475           	pipe	1.466367e+01	5.684677e+01	4.845158e+01
476           	pipe	1.466367e+01	5.684677e+01	4.845218e+01
477           	pipe	1.466367e+01	5.684677e+01	4.845278e+01
478           	pipe	1.466367e+01	5.684677e+01	4.845338e+01
479           	pipe	1.466367e+01	5.684677e+01	4.845398e+01
480           	pipe	1.466367e+01	5.684677e+01	4.845458e+01
481           	pipe	1.466367e+01	5.684677e+01	4.845517e+01
482           	pipe	1.466367e+01	5.684677e+01	4.845577e+01
483           	pipe	1.466367e+01	5.684677e+01	4.845636e+01
484           	pipe	1.466367e+01	5.684677e+01	4.845696e+01
485           	pipe	1.466367e+01	5.684677e+01	4.845755e+01
486           	pipe	1.466367e+01	5.684677e+01	4.845814e+01
487           	pipe	1.466367e+01	5.684677e+01	4.845874e+01
488           	pipe	1.466367e+01	5.684677e+01	4.845933e+01
489           	pipe	1.466367e+01	5.684677e+01	4.845992e+01
490           	pipe	1.466367e+01	5.684677e+01	4.846051e+01
491           	pipe	1.466367e+01	5.684677e+01	4.846109e+01
492           	pipe	1.466367e+01	5.684677e+01	4.846168e+01
493           	pipe	1.466367e+01	5.684677e+01	4.846227e+01
494           	pipe	1.466367e+01	5.684677e+01	4.846285e+01
495           	pipe	1.466367e+01	5.684677e+01	4.846344e+01
496           	pipe	1.466367e+01	5.684677e+01	4.846402e+01
497           	pipe	1.466367e+01	5.684677e+01	4.846460e+01
498           	pipe	1.466367e+01	5.684677e+01	4.846519e+01
499           	pipe	1.466367e+01	5.684677e+01	4.846577e+01
500           	pipe	1.466367e+01	5.684677e+01	4.846635e+01
501           	pipe	1.466367e+01	5.684677e+01	4.846693e+01
502           	pipe	1.466367e+01	5.684677e+01	4.846750e+01
503           	pipe	1.466367e+01	5.684677e+01	4.846808e+01
504           	pipe	1.466367e+01	5.684677e+01	4.846866e+01
505           	pipe	1.466367e+01	5.684677e+01	4.846923e+01
506           	pipe	1.466367e+01	5.684677e+01	4.846981e+01
507           	pipe	1.466367e+01	5.684677e+01	4.847038e+01
508           	pipe	1.466367e+01	5.684677e+01	4.847095e+01
509           	pipe	1.466367e+01	5.684677e+01	4.847152e+01
510           	pipe	1.466367e+01	5.684677e+01	4.847209e+01
511           	pipe	1.466367e+01	5.684677e+01	4.847266e+01
512           	pipe	1.466367e+01	5.684677e+01	4.847323e+01
513           	pipe	1.466367e+01	5.684677e+01	4.847379e+01
514           	pipe	1.466367e+01	5.684677e+01	4.847436e+01
515           	pipe	1.466367e+01	5.684677e+01	4.847492e+01
516           	pipe	1.466367e+01	5.684677e+01	4.847548e+01
517           	pipe	1.466367e+01	5.684677e+01	4.847605e+01
518           	pipe	1.466367e+01	5.684677e+01	4.847661e+01
519           	pipe	1.466367e+01	5.684677e+01	4.847717e+01
520           	pipe	1.466367e+01	5.684677e+01	4.847772e+01
521           	pipe	1.466367e+01	5.684677e+01	4.847828e+01
522           	pipe	1.466367e+01	5.684677e+01	4.847883e+01
523           	pipe	1.466367e+01	5.684677e+01	4.847939e+01
524           	pipe	1.466367e+01	5.684677e+01	4.847994e+01
525           	pipe	1.466367e+01	5.684677e+01	4.848049e+01
526           	pipe	1.466367e+01	5.684677e+01	4.848104e+01
527           	pipe	1.466367e+01	5.684677e+01	4.848159e+01
528           	pipe	1.466367e+01	5.684677e+01	4.848214e+01
529           	pipe	1.466367e+01	5.684677e+01	4.848268e+01
530           	pipe	1.466367e+01	5.684677e+01	4.848323e+01
531           	pipe	1.466367e+01	5.684677e+01	4.848377e+01
532           	pipe	1.466367e+01	5.684677e+01	4.848431e+01
533           	pipe	1.466367e+01	5.684677e+01	4.848485e+01
534           	pipe	1.466367e+01	5.684677e+01	4.848539e+01
535           	pipe	1.466367e+01	5.684677e+01	4.848593e+01
536           	pipe	1.466367e+01	5.684677e+01	4.848646e+01
537           	pipe	1.466367e+01	5.684677e+01	4.848700e+01
538           	pipe	1.466367e+01	5.684677e+01	4.848753e+01
539           	pipe	1.466367e+01	5.684677e+01	4.848806e+01
540           	pipe	1.466367e+01	5.684677e+01	4.848859e+01
541           	pipe	1.466367e+01	5.684677e+01	4.848912e+01
542           	pipe	1.466367e+01	5.684677e+01	4.848965e+01
543           	pipe	1.466367e+01	5.684677e+01	4.849017e+01
544           	pipe	1.466367e+01	5.684677e+01	4.849070e+01
545           	pipe	1.466367e+01	5.684677e+01	4.849122e+01
546           	pipe	1.466367e+01	5.684677e+01	4.849174e+01
